infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P class
11.46,47.5,75,152,9.6,6.91,0.72,2,1.5,7.4,14.76512,0
9.96,22.8,76.8,151.9,7.42,4.61,0.62,12,24,7.4,37.144215,2
10.13,55,84,156.17,9.6,6.91,0.72,2,0.3,7.6,13.483453,0
9.68,22.8,76.8,151.9,7.03,4.27,0.61,12,24,7.4,80.94941,2
9.49,41.11,77.53,155.06,6.7,4.4,0.66,7.1,6.8,7.5,24.930244,2
10.85,30.5,81,176.78,7,5.3,0.76,4,4,7.5,4.8044834,0
9.96,22.8,76.8,151.9,7.3,4.33,0.59,12,24,7.4,57.618637,0
8.18,50,80.2,167.08,11.2,7.64,0.68,15.6,27,7.5,62.313744,0
11.48,10.96,74.19,189.94,6.32,3.32,0.53,6,2,8,55.285587,0
9.89,22.8,76.8,151.9,7.36,4.42,0.6,12,24,7.4,24.441294,2
4.96,35.81,73.65,220.94,7.7,4.6,0.6,6,3,7.5,45.107346,2
10.29,50,67.25,134.49,7.12,4.89,0.69,6,6,7.5,5.545664,1
11,47.5,75,164,9.6,6.91,0.72,2,1.5,7.4,47.548832,0
11.14,55,75,164.85,9.6,6.91,0.72,2,1.5,7.6,31.990744,1
12.07,41.5,80.28,160.55,6.7,4.4,0.66,7,6.6,7.5,30.247377,2
9.05,47.5,75,193,9.6,6.91,0.72,2,1.5,7.4,23.959541,2
9.87,35.29,81.09,243.26,7.7,4.6,0.6,6,3,7.5,23.702156,2
19.23,45,140,137.25,7.8,6.65,0.85,5,6,7.5,1.2594767,0
11.59,20.13,69.03,198.41,5.45,2.98,0.55,6,2,8,57.50785,0
9.87,44.52,88.37,176.74,6.7,4.4,0.66,6.9,6,7.5,27.715502,2
11.08,45,76.47,154.52,6.7,4,0.6,8,4,7.5,32.241516,0
9.61,22.8,76.8,151.9,7.36,4.39,0.6,12,24,7.4,52.54224,0
10.09,50,84,151.99,9.6,6.91,0.72,3,1.5,7.6,11.1616535,2
10.09,50,84,151.99,9.6,6.91,0.72,3,0.5,7.6,11.1616535,0
9.6,30.92,70.17,178.88,7.58,2.88,0.38,6,2,8,69.44415,1
12.08,10.09,71.61,183.1,5.85,3.06,0.52,6,2,8,52.03522,0
9.51,40.22,69.43,191.68,16.96,3.55,0.21,6,2,8,79.34813,2
10.77,50,84,151.99,9.6,6.91,0.72,3,1,7.6,14.678042,0
10.19,30.55,68.31,194.49,5.55,2.58,0.46,6,2,8,72.24869,1
9.79,22.8,76.8,151.9,7.15,4.15,0.58,12,24,7.4,50.964954,2
10.28,30.43,68.31,177.3,8.49,3.13,0.37,6,2,8,69.01932,1
14.8,60.47,89.05,240.08,7.8,0.65,0.08,9,3,7.5,46.070164,2
10.39,50,75,150,5.5,4.6,0.84,4.4,4.4,7.6,6.293228,2
11.41,50,75.44,150.88,7.5,5.3,0.71,3,3,7.6,22.883013,1
10.24,28.81,72.41,204.91,5.66,2.75,0.49,6,2,8,70.72017,1
10.46,22.8,76.8,151.9,6.91,3.94,0.57,12,24,7.4,48.41716,2
10.1,47.5,75,189,9.6,6.91,0.72,2,1.5,7.4,18.458488,1
9.87,29.68,72.79,199.99,18.01,3.63,0.2,6,2,8,88.879745,2
10.79,22.8,76.8,151.9,7.06,4.15,0.59,12,24,7.4,38.611237,2
10.45,40,70.47,140.94,8.2,5.6,0.68,9.3,11,7.6,23.852646,1
9.79,22.8,76.8,151.9,7.7,4.21,0.55,12,24,7.4,62.192986,2
8.07,34.53,70.14,210.41,7.7,4.6,0.6,6,3,7.5,29.875608,2
7.26,45,52,118,4,3.1,0.78,5.8,3.8,7.4,19.353441,1
9.33,39.98,70.17,182.96,16.54,3.69,0.22,6,2,8,85.84048,2
10.15,42.53,92.5,277.49,7.7,4.6,0.6,6,3,7.5,29.422663,2
10.1,40.6,70.55,182.73,16.72,3.88,0.23,6,2,8,73.78808,2
11.1,51.35,85,158.61,9.6,6.91,0.72,1.5,0.3,7.6,9.087692,0
9.74,40.22,72.41,204.22,19.04,4.09,0.21,6,2,8,92.615486,2
10.77,50,84,151.99,9.6,6.91,0.72,3,1.5,7.6,14.678042,0
10.1,40.72,71.29,196.37,17.44,3.5,0.2,6,2,8,88.66263,2
3.25,32.67,104.2,312.6,7.7,4.6,0.6,6,3,7.5,58.222015,1
13.02,0,68.39,170.97,6.37,3.22,0.51,6,2,8,42.473656,0
5.67,50,85,160.11,9.6,6.91,0.72,2,0.3,7.6,11.58625,0
6.21,35.26,82.95,248.85,7.7,4.6,0.6,6,3,7.5,40.1221,2
11.64,47.5,75,175,9.6,6.91,0.72,2,1.5,7.4,23.610065,0
9.84,29.52,75.87,199.28,8.2,3.5,0.43,5,2.5,7.1,100.82899,2
11.8,47.5,75,157,9.6,6.91,0.72,2,1.5,7.4,16.827965,1
9.73,53.74,84,158.55,9.6,6.91,0.72,2,0.3,7.6,15.175182,0
9.91,44.84,56.97,134.85,4,3.1,0.78,6,1,7.4,20.988853,0
9.96,30.05,75.4,200.33,8.09,2.87,0.36,6,2,8,84.022064,0
10.39,22.8,76.8,151.9,7.52,4.09,0.54,12,24,7.4,68.49125,2
11.53,54.36,82.48,164.96,6.7,4.4,0.66,6.1,3.2,7.5,42.570118,2
9,22.8,76.8,151.9,7.36,4.61,0.63,12,24,7.4,54.20418,2
14.16,50,75,150,7.5,5.3,0.71,3,3,7.6,19.424246,0
9.62,36.54,82.19,246.57,7.7,4.6,0.6,6,3,7.5,28.373035,2
10.57,24.42,74.39,147.27,7.52,4.57,0.61,12,24,7.4,51.901306,2
10.6,29.43,70.55,195.84,6.32,2.86,0.45,6,2,8,80.23754,1
6.03,50,73.5,153.13,12,7.83,0.65,13.3,24.6,7.5,73.855385,0
10.52,55.25,85,166.29,9.6,6.91,0.72,2,1,7.6,12.926985,2
6.42,50,85,163.23,9.6,6.91,0.72,2,0.3,7.6,11.709823,0
14.57,47.5,75,170,9.6,6.91,0.72,2,1.5,7.4,38.342968,0
10.09,50,84,151.99,9.6,6.91,0.72,3,1,7.6,11.1616535,1
16.92,50,75.36,157,11.6,7.47,0.64,9.9,20.9,7.5,62.172504,0
