infP,infC,infAc,infpro,infS,MLSS,MLVSS,VSS/TSS,volumn,ana-time,pH,T,salinity,SR
18.4,79.22,53.07,26.14,158.43,4.6,3.5,0.76,14.0,4.0,7.6,22.0,0.7,3.54
12.36,85.0,52.01,32.99,158.61,9.6,6.91,0.72,0.5,0.5,6.5,30.0,0.7,2.89
14.55,72.0,48.24,23.76,144.0,4.8,4.1,0.85,14.0,4.0,7.6,22.0,0.7,7.78
14.07,76.0,50.92,25.08,152.0,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,14.69
13.16,75.0,50.25,24.75,168.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,30.01
17.74,78.2,52.39,25.81,159.59,7.5,6.41,0.85,20.0,5.0,7.5,30.0,0.4,3.26
7.33,79.34,53.16,26.18,165.29,11.6,7.47,0.64,30.0,10.4,7.5,30.0,0.7,57.47
11.13,75.0,50.25,24.75,179.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,19.45
18.16,74.0,49.58,24.42,151.02,7.5,6.22,0.83,20.0,5.0,7.5,30.0,0.4,3.67
6.21,82.95,82.95,0.0,248.85,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,40.1
9.75,70.0,46.9,23.1,140.0,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,15.46
8.89,75.0,50.25,24.75,176.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,41.41
11.6,72.41,72.41,0.0,189.37,17.13,3.6,0.21,10.0,6.0,8.0,22.0,0.09,81.72
10.39,74.03,49.6,24.43,148.05,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,8.73
5.67,85.0,83.1,1.9,160.11,9.6,6.91,0.72,0.5,0.5,7.6,30.0,0.7,3.43
12.97,75.0,50.25,24.75,180.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,30.77
8.47,87.85,87.85,0.0,175.7,6.7,4.4,0.66,20.0,7.2,7.5,30.0,0.7,37.36
13.04,76.65,51.36,25.29,153.3,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,20.8
14.2,75.44,50.54,24.9,150.88,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,15.5
10.61,67.1,67.1,0.0,204.77,5.16,2.78,0.54,10.0,6.0,8.0,22.0,0.09,59.36
12.04,75.0,50.25,24.75,156.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,11.2
9.61,76.8,76.8,0.0,151.9,6.94,3.97,0.57,20.0,12.0,7.4,30.0,0.7,53.11
12.36,85.0,52.01,32.99,158.61,9.6,6.91,0.72,0.5,0.3,6.5,30.0,0.7,1.48
6.23,75.42,75.42,0.0,226.26,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,34.39
12.05,72.0,48.24,23.76,144.0,5.5,4.6,0.84,14.0,5.4,7.6,22.0,0.7,3.91
11.08,76.47,51.23,25.23,154.52,6.7,4.0,0.6,20.0,6.0,7.5,30.0,0.7,31.15
10.1,70.55,70.55,0.0,182.73,16.72,3.88,0.23,10.0,6.0,8.0,22.0,0.09,73.64
