infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P removal
3.01,15.51,108.1,216.2,6.7,4.4,0.66,8.6,12.2,7.5,54.785614,71.7
8.56,44.22,77.82,155.64,6.7,4.4,0.66,9.2,14.2,7.5,43.10153,43.5
10.36,51.17,85,155.09,9.6,6.91,0.72,2,0.3,7,13.237605,41.2
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,1,7.4,18.325752,0
11.96,22.8,76.8,151.9,6.91,4.18,0.61,12,24,7.4,26.06656,100
9.68,22.8,76.8,151.9,7,4.09,0.58,12,24,7.4,67.88277,60
10.65,29.81,73.16,204.43,6.48,2.69,0.41,6,2,8,80.69234,67.8
11.79,18.7,67.4,135.8,8.67,6.76,0.78,12,24,7.4,24.209509,40.6
13.02,0,68.39,170.97,6.37,3.22,0.51,6,2,8,42.473656,41.7
12.3,0,71.61,170.85,6.31,3.16,0.5,6,2,8,35.984863,46.9
35.49,40,75.38,150.75,8.2,5.6,0.68,8.5,9.8,7.6,30.86865,69.7
8.47,44.1,87.85,175.7,6.7,4.4,0.66,7.2,7.2,7.5,37.577446,100
9,29.48,75.78,227.33,7.7,4.6,0.6,6,3,7.5,26.86453,100
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,1,7.5,3.6848714,0
14.65,45,164.7,161.47,7.8,6.65,0.85,5,6,7.5,6.070454,29.5
10.24,28.81,72.41,204.91,5.66,2.75,0.49,6,2,8,70.72017,79.8
9.64,50.76,67.93,168.67,13.77,3.43,0.25,6,2,8,72.0031,90.8
18.82,50,82.78,172.46,12,7.83,0.65,11.1,22.3,7.5,63.505054,35.4
10.7,47.5,75,182,9.6,6.91,0.72,2,1.5,7.4,28.540531,81.6
9.79,22.8,76.8,151.9,7.15,4.15,0.58,12,24,7.4,50.964954,100
11.73,50,75.44,150.88,7.5,5.3,0.71,3,3,7.6,15.733135,69.5
9.37,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,23.05713,70.8
12.01,47.5,75,196,9.6,6.91,0.72,2,1.5,7.4,13.681719,88.4
11.59,9.72,72.9,174.72,5.07,2.58,0.51,6,2,8,39.169083,44.7
13.24,45,79.5,169.15,11.2,7.36,0.66,8,12,7.5,71.67803,79.8
14.95,45,164,160.78,7.8,6.65,0.85,5,6,7.5,2.080796,8.6
14.55,45,79.7,78.14,7.6,6.33,0.83,5,6,7.5,2.2992554,15.7
15.11,47.5,75,174,9.6,6.91,0.72,2,1.5,7.4,22.609123,66.3
11.21,22.8,76.8,151.9,7,4.12,0.59,12,24,7.4,49.46502,71.9
